District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,AP Ratio,Transplant,Growth,Harvest,Production,Crop_Label_22,_orig_id
Narayanganj,Kharif 1,Mango,5413.633744047718,21.967251997024082,26.316562001683252,29.956104160404536,5.762387886063845,31.65532602409212,27.061187399663076,36.03894395437066,69.87861219012076,88.87044087707687,50.85642945200878,177.98849037361904,23.70259368701634,April,No need to do,April to June,11156.399332845047,mango,1258
Narsingdi,Kharif 1,Mango,0.0,23.900488636173012,28.20040676925084,31.052274055883274,5.793361603338741,31.254459169570154,27.079805612354438,35.99623370137653,68.99439207692099,89.33340411357526,50.991098693424426,166.5344395697988,4.9085449443924425,April,No need to do,April to June,18182.303366147145,mango,1259
Natore,Kharif 1,Mango,2894.6421326669797,16.772242012020257,25.882218269506275,29.328841625365545,5.774403061614064,31.451542251809734,27.070105697035814,35.96015626435908,69.73253132209821,89.45425413125612,52.09210019714607,130.2740136416852,14.828886487061737,April,No need to do,April to June,60651.55901096865,mango,1260
Netrokona,Kharif 1,Mango,2732.510850211681,22.787190548063684,28.078198348409067,29.560978933595493,5.782476680276799,31.61533635412267,27.27582470251534,36.33227407690296,69.47485398456945,89.68560879012487,50.442850030439295,183.53922804289735,6.558747387110203,April,No need to do,April to June,25256.332277167327,mango,1261
Nilphamari,Kharif 1,Mango,8665.216662187679,23.77453571307314,27.417641100631005,30.02183628649073,5.772081652656081,31.439981340411368,27.248761342654785,35.74128302556236,70.01997047122853,89.71771739126036,50.2635288209769,171.41578936325112,16.791711759998734,April,No need to do,April to June,0.0,mango,1262
Noakhali,Kharif 1,Mango,0.0,15.52535839556003,25.882651609689415,28.34830231369308,5.778550691169457,31.714547045598277,26.982151855392367,35.94801402233641,68.88924620759403,89.53016795365102,51.09884686662621,184.22138501941467,8.61764197392507,April,No need to do,April to June,7196.642027114135,mango,1263
Pabna,Kharif 1,Mango,0.0,21.14819211522333,27.219194421081827,29.724284600570172,5.775756121513127,31.520165785902876,26.756442504092917,36.32462798784968,69.75874054412762,88.46990777979418,51.608550350947084,126.72591636223657,13.26935355666176,April,No need to do,April to June,30051.52299835355,mango,1264
Panchagar,Kharif 1,Mango,0.0,21.46140464268381,29.15753453783649,29.83786848766247,5.773509239149479,31.06283867126352,27.110201669938963,35.75652062633661,69.25921478236965,90.13890488974846,49.50525828769332,154.3655687113146,8.191616757120421,April,No need to do,April to June,3435.411620829289,mango,1265
Patuakhali,Kharif 1,Mango,7459.146504568107,19.333302062621144,27.304812434752236,32.029283897440905,5.785268937072829,31.68771375090596,27.645741551811017,35.771821243032996,70.69034023261719,89.80864057347846,49.83665550894281,207.96594591981744,1.4866565428370833,April,No need to do,April to June,1511.1556962268937,mango,1266
Pirojpur,Kharif 1,Mango,0.0,18.965892607152842,27.31114196335619,29.535886169146952,5.77215838790772,31.47381328489705,27.092345786783902,36.22032942016231,69.36917383694444,89.49654469395608,49.175769748826994,172.91424914306987,0.5795358080566522,April,No need to do,April to June,0.0,mango,1267
Rajbari,Kharif 1,Mango,7407.898276251258,21.574572083722906,27.678497377782804,30.17770898516336,5.801514793411151,31.10425588050699,26.914932467550845,35.57254038864779,69.57976665542786,91.01076717402579,50.277354256837604,152.91627225200403,5.899921304303727,April,No need to do,April to June,18603.50247825895,mango,1268
Rajshahi,Kharif 1,Mango,26493.395137531566,18.68454075543938,27.875788806513157,31.103613535438875,5.7832468209945285,31.44358274428377,27.154033693190005,36.19832177694667,70.20714445970307,89.82491482591212,50.719590598434884,123.64434927610722,6.815110595834566,April,No need to do,April to June,242529.09273157085,mango,1269
Rangamati,Kharif 1,Mango,11.21321156106842,19.58057069780985,26.678691536122678,28.840923950526545,5.7542844399224276,31.216367366455735,27.171252827345985,35.85301146672301,69.6668705013011,90.04231834963505,49.2321657950171,212.22359876644833,1.5843466559142985,April,No need to do,April to June,11640.965319790139,mango,1270
Rangpur,Kharif 1,Mango,0.0,21.900290797585043,27.710735644258612,31.692603674916167,5.767565179055295,31.668415806639864,27.168066097801745,36.12308237953842,71.73237003158847,90.57539839616891,50.91747056861821,175.84700576613213,25.30902041505425,April,No need to do,April to June,25823.00268619034,mango,1271
Satkhira,Kharif 1,Mango,6174.566366837411,24.021589044642784,25.59038837632215,32.19269831230258,5.7754761509462815,31.49198521201079,27.394653861589276,35.6335349030945,70.68320785806287,88.92283297651973,49.63316656943133,138.35900677421628,2.871640771972265,April,No need to do,April to June,25713.649411234554,mango,1272
Shariatpur,Kharif 1,Mango,14541.072516336766,21.281995770098685,25.96920166938733,29.88276792760749,5.770613661887005,31.293431339636633,27.110987890235418,36.35576045815776,70.01263350674375,89.98365296709606,49.567245796743656,155.98421551779654,0.0,April,No need to do,April to June,0.0,mango,1273
Sherpur,Kharif 1,Mango,4703.007882709009,20.370720024865616,26.163036348644678,29.224964346463924,5.7794727643365045,31.681322476157703,27.38100852411594,35.63458437908839,70.27026938479595,90.57301084012678,50.91434925716234,175.03639832315434,4.694462657631634,April,No need to do,April to June,33431.40759600878,mango,1274
Sirajganj,Kharif 1,Mango,0.0,18.90663594078473,27.89181139090029,32.01649865535386,5.780991765307276,31.60253586775766,27.066184057708742,36.21763044050185,68.27058848180278,89.93396934835147,49.49413447733525,144.64081728396002,30.282331215934153,April,No need to do,April to June,36716.79845807339,mango,1275
Sunamganj,Kharif 1,Mango,0.0,17.793273640057986,27.42279397740071,30.945148510866915,5.751249751765434,31.447278105261507,27.434789054480895,35.64712563402031,70.9043639010817,89.05768537914172,48.86428502936674,328.39805133125947,7.61587680916878,April,No need to do,April to June,32261.481834635022,mango,1276
Sylhet,Kharif 1,Mango,3111.720077293668,22.56970901368247,26.976410656552385,30.025615067205376,5.7876675139009555,31.22145852716427,27.346893127771043,36.54285278048308,70.37584753409463,89.65117101933023,50.6017694542944,329.2284570847896,3.4281680966251002,April,No need to do,April to June,8097.167808642531,mango,1277
Tangail,Kharif 1,Mango,0.0,19.72430110138855,28.22669433722346,31.75844904337309,5.763148323055139,31.311605351914874,27.26498429993592,35.978571155179196,69.94628566863014,90.1366370448188,49.89342612573098,148.71478614349837,7.930559004211903,April,No need to do,April to June,14864.543604848528,mango,1278
Thakurgaon,Kharif 1,Mango,2506.9837972729565,22.662357384250218,27.754073573800106,31.622062126179948,5.761781800263045,31.308254592147307,27.226862620098935,36.58564822661754,70.41546120631769,88.47673063050958,50.96947262474462,147.43256286711818,6.904316577742942,April,No need to do,April to June,22328.706091673972,mango,1279
Bagerhat,Kharif 2,Mashkalai,10518.136785272267,39.27757033700761,67.03061053880383,18.806742157176988,7.121737421949862,27.666932287964894,20.661603861756912,34.754169587289994,35.50503638213697,44.022028248159984,25.674058426522627,150.21456987083744,2.3994485323143557,Aug,Sep to Oct,Nov,21624.558825289387,blackgram,1280
Bandarban,Kharif 2,Mashkalai,0.0,38.557252571670446,65.9013588064978,19.560481579391997,7.141151186711328,27.12411643540051,20.30948897824839,34.86711605077747,34.69428872436935,46.42686404237901,23.585271980200623,246.10187173989112,0.0,Aug,Sep to Oct,Nov,13532.845982963947,blackgram,1281
Barguna,Kharif 2,Mashkalai,0.0,40.96799513545509,66.2279301745124,19.98318126698538,7.126316833208901,27.48943731340721,19.755851794790193,35.363458480078286,35.27912462449114,45.35035796523289,26.06453420739172,211.62292670153047,0.6729640206794594,Aug,Sep to Oct,Nov,0.0,blackgram,1282
Barishal,Kharif 2,Mashkalai,0.0,39.84757630773196,65.24740610570785,19.277017853837446,7.120848869415681,27.44403120894388,20.070687597180083,34.57185527678906,35.77000018976794,46.0725468600935,26.537283080047924,178.86396194918518,0.4077172017732933,Aug,Sep to Oct,Nov,12065.811701159497,blackgram,1283
Bhola,Kharif 2,Mashkalai,0.0,37.304129585020405,67.68299905083782,17.447901473062107,7.124153121847726,27.731568044405577,19.92390341474418,34.79007981774101,35.333997474774606,45.62634632273866,25.836394907597647,184.53555512706313,2.5362077207258173,Aug,Sep to Oct,Nov,0.0,blackgram,1284
Bogura,Kharif 2,Mashkalai,15536.781238943518,44.11425115347565,66.16363783154976,18.031078418467455,7.1052491642971995,27.552044730905784,20.593462964593787,35.148619777760985,34.814530269470445,45.28484954848756,25.868970917450497,142.73206068020588,0.6620937297194114,Aug,Sep to Oct,Nov,4328.760781385896,blackgram,1285
Brahmanbaria,Kharif 2,Mashkalai,12571.72547936704,38.607502050680516,66.71945818701474,17.489915734119254,7.1183856054866785,27.619684142218723,20.35974345555751,34.694161586932886,35.2178085223862,44.77653620096857,24.799583045753376,189.949292981777,0.5583880651676592,Aug,Sep to Oct,Nov,10666.04094268529,blackgram,1286
Chandpur,Kharif 2,Mashkalai,5691.265373429944,42.10972094059636,67.27666727722654,19.875119415938528,7.112904735417815,27.38251858540877,20.584113108573398,35.156649837964714,36.01487502121889,45.27561702592743,24.614256760274298,175.57384553249548,0.373384161492464,Aug,Sep to Oct,Nov,18194.483027724138,blackgram,1287
Chapai Nawabganj,Kharif 2,Mashkalai,20847.13070579058,41.916573424046305,69.05192143742434,17.713994592471032,7.126287849312588,27.224723223312452,19.781528806055366,35.0511554773293,35.5756150442514,46.04832180788714,25.17191085312058,119.71620866663083,0.06745250900637023,Aug,Sep to Oct,Nov,10774.307589050952,blackgram,1288
Chattogram,Kharif 2,Mashkalai,8407.098843423719,37.18262422233956,68.87735682554515,19.48792539544887,7.1391599793344875,27.427216807922285,20.316691993717917,34.545602864738086,34.14604656029814,45.59686333074293,25.74439003933709,254.36767156581573,0.08654552466373083,Aug,Sep to Oct,Nov,0.0,blackgram,1289
Chuadanga,Kharif 2,Mashkalai,0.0,37.76177490443371,67.38710258418426,21.600357728482255,7.137638577554887,27.673789660075936,19.607746812614096,35.290524649863805,35.430758154698026,45.12060358555971,25.72402098752592,124.0025676175543,0.3813997839343187,Aug,Sep to Oct,Nov,842.5931671979495,blackgram,1290
CoxsBazar,Kharif 2,Mashkalai,7464.9129561608215,39.34074586003207,69.38756352485298,21.079642639595498,7.147332016299099,27.6732816484979,19.542319004894825,34.62101698573988,35.33345426691989,44.875393342603886,24.64574503297475,301.49201109551586,2.203028515451595,Aug,Sep to Oct,Nov,13164.927615506815,blackgram,1291
Cumilla,Kharif 2,Mashkalai,6857.51654925748,38.069831558324005,64.4207740333497,16.872539153624135,7.14425970051593,27.403711670852527,19.88588933606313,35.23153835128558,35.85472171071597,45.360287162553696,24.563710919782313,186.06267892270233,0.6718224471290528,Aug,Sep to Oct,Nov,9902.661360457087,blackgram,1292
Dhaka,Kharif 2,Mashkalai,384.5771501116369,43.90944050369701,70.31447232622216,17.592428301275554,7.1227100511227155,27.30751979775241,20.434753659014234,35.038568375581534,35.024096919814816,44.6153340396523,23.79416358117666,170.62884816127647,0.3975554507277238,Aug,Sep to Oct,Nov,429.4408650517455,blackgram,1293
Dinajpur,Kharif 2,Mashkalai,8544.05411130836,39.569035097382596,68.51931531540134,18.239479930759728,7.130263016270417,27.263704588317093,19.714658744151365,34.86340504195454,34.728820978993426,45.36039620730245,25.523489448653237,162.34135654122926,0.7072353114860316,Aug,Sep to Oct,Nov,0.0,blackgram,1294
Faridpur,Kharif 2,Mashkalai,0.0,42.02446766081955,67.62577343819312,17.733745108203447,7.129551014495891,27.469447452327646,19.995167196458087,34.66815763691656,33.99545864992135,44.49537928815292,24.684587881364948,160.05041079002532,0.07090168445606349,Aug,Sep to Oct,Nov,0.0,blackgram,1295
Feni,Kharif 2,Mashkalai,0.0,41.17714598847155,66.11936064921896,17.109105631531065,7.100334541159968,27.53053567973157,20.34174972474179,35.0988468078976,34.49001114779212,44.74411576026779,24.75639369157741,249.88035711280506,0.0,Aug,Sep to Oct,Nov,2817.655389490723,blackgram,1296
Gaibandha,Kharif 2,Mashkalai,7601.15464179925,40.614801944455884,66.80621518252923,19.226032520221395,7.113212608886855,27.82943623739794,20.243313454267135,34.73806764252984,35.886904311994115,44.25697057961216,26.398201523482662,183.88445954430753,0.9211870565433864,Aug,Sep to Oct,Nov,0.0,blackgram,1297
Gazipur,Kharif 2,Mashkalai,40.930302279990656,40.11083748235005,68.39332345266837,20.14850267754312,7.127692926781676,27.527579320398967,20.637074228652736,35.36262820731509,35.145344679459946,44.68205201733104,25.48421801001204,171.37274460299273,0.20257569111984025,Aug,Sep to Oct,Nov,0.0,blackgram,1298
Gopalganj,Kharif 2,Mashkalai,4561.713008296383,42.807065089866526,68.42776296219125,20.469246636333224,7.1276155618495745,27.637250831179582,20.000969326931564,35.37358466405392,34.926733253360915,44.505665988467996,25.26129053777506,153.0712057906888,0.6387495849719628,Aug,Sep to Oct,Nov,0.0,blackgram,1299
Habiganj,Kharif 2,Mashkalai,12628.925670557783,38.16119251312856,68.48278799974372,18.62865049543949,7.137065544200902,27.325471138626536,19.87304733085278,35.49293939310178,35.951279882370116,46.22325214151992,25.67179801522686,335.73430219727675,0.0,Aug,Sep to Oct,Nov,25623.9127637712,blackgram,1300
Jamalpur,Kharif 2,Mashkalai,0.0,43.90916777094441,66.36613993363414,18.889659555683227,7.136394144498644,27.509325211310657,19.685375907786444,35.084325544042386,35.80001380099167,44.35328098771411,26.149564906501322,181.36780175345083,0.26196431076881177,Aug,Sep to Oct,Nov,2989.0815353310754,blackgram,1301
Jashore,Kharif 2,Mashkalai,0.0,37.12008427835204,66.06104137358729,19.698280354205338,7.105580139918784,27.53132445369534,19.894213203776953,34.878626004333455,34.4597969309354,45.278235307721985,23.691129955719425,130.73847585521372,0.8025582208897839,Aug,Sep to Oct,Nov,9225.542191909484,blackgram,1302
Jhallokati,Kharif 2,Mashkalai,10883.757767565749,41.78062564294187,67.76578619068665,19.10021933540232,7.137152037792565,27.46857445354197,19.682754844552097,34.9108697042475,35.881802006360886,44.31540558647124,24.542291855614092,180.64887112749656,2.0054177058499603,Aug,Sep to Oct,Nov,6226.13417295488,blackgram,1303
Jhenaidah,Kharif 2,Mashkalai,6346.948378037852,36.85438207868884,68.6365269051023,20.284444550677204,7.132462920348239,27.495120863593044,19.483586354141735,34.88889953184313,33.78222768911465,45.03390576006005,24.812155858928964,133.99950513198758,1.0869477076350624,Aug,Sep to Oct,Nov,0.0,blackgram,1304
Joypurhat,Kharif 2,Mashkalai,0.0,39.30876397801042,67.47482586677462,19.794513296761938,7.138597023964405,27.528225072366126,20.564405012788896,35.07445138041441,35.33740956607022,45.2096083753147,24.208322918088374,138.21948336913388,0.44735916033209683,Aug,Sep to Oct,Nov,0.0,blackgram,1305
Khagrachari,Kharif 2,Mashkalai,0.0,40.23021293002433,69.71482996551634,18.75514209339831,7.144713287792645,27.60756982806369,20.01405895231183,35.13106970552562,35.25059729258372,43.66165498274817,24.785381946704966,200.1293181799553,2.2499078584950856,Aug,Sep to Oct,Nov,0.0,blackgram,1306
Khulna,Kharif 2,Mashkalai,0.0,38.92355028164508,67.52021178474352,16.84777514390444,7.128029481573264,27.761439090507853,20.744953865313214,35.36971620769807,35.844199077927826,43.98946404307196,23.744817213875933,147.1813176142577,0.5439655322493939,Aug,Sep to Oct,Nov,21358.754636147278,blackgram,1307
Kishoreganj,Kharif 2,Mashkalai,0.0,39.610726418653584,67.46892622218932,21.17146102130971,7.147178076052049,26.993376432358474,19.75873464872221,35.006041058920985,35.27974844814534,44.30977279846838,25.746230087546177,185.42910975947694,0.8905666303618207,Aug,Sep to Oct,Nov,0.0,blackgram,1308
Kurigram,Kharif 2,Mashkalai,3729.758570914116,36.895369035973616,68.48607098763998,18.356001827695582,7.117734157898967,27.749054853272714,19.87673289051844,34.5787504888104,34.820437691654426,44.057761809210476,24.581233809222653,181.59362847852128,0.1520666426706465,Aug,Sep to Oct,Nov,0.0,blackgram,1309
Kushtia,Kharif 2,Mashkalai,1163.8604811931878,37.7954260628847,69.31744748618267,19.70070448717339,7.116957197511383,27.117427752070597,19.777109192957354,34.87769204434236,34.87843963120541,45.06079346750464,25.162614490309547,131.45562452855813,0.27315609124665174,Aug,Sep to Oct,Nov,0.0,blackgram,1310
Lakshmipur,Kharif 2,Mashkalai,2013.2189530292012,41.14251370222669,65.42553098542359,16.77052431425713,7.135913255337903,27.569045783331493,19.815805591559485,35.46706744343632,36.97745179868181,45.17538510578547,25.04151908136195,182.40460385806753,0.31544898138687666,Aug,Sep to Oct,Nov,0.0,blackgram,1311
Lalmonirhat,Kharif 2,Mashkalai,0.0,40.086846055171556,65.77592448804421,19.22541889335478,7.124914276844699,28.026767590939052,20.251129772572494,34.53271437373571,35.0606767154873,44.23140066410729,25.451065369184114,179.98558363653603,0.5417197735979934,Aug,Sep to Oct,Nov,1336.5767216354395,blackgram,1312
Madaripur,Kharif 2,Mashkalai,583.841651361099,38.464346630291324,66.99532828886498,19.369184780772617,7.1336082101285845,27.49048710745794,20.16279784718531,35.221893169224764,35.43838813522347,45.089795272712536,23.008641137161895,159.05124424591705,0.3340076660174023,Aug,Sep to Oct,Nov,0.0,blackgram,1313
Magura,Kharif 2,Mashkalai,0.0,43.00339399359218,72.2566099098089,19.431469686003958,7.15748548630169,27.540256020636843,20.251648841216817,34.88274976577155,33.516011710263875,44.693391835552376,25.364354687260043,133.41831645714277,0.5369791897522631,Aug,Sep to Oct,Nov,2075.9897535169675,blackgram,1314
Manikganj,Kharif 2,Mashkalai,9935.46568537143,37.27168343004796,67.07380782619427,23.123189807718017,7.135426743845258,27.43061948031206,20.385854985056955,34.734783594353345,34.39253355539692,44.92807898566767,24.77739499545233,169.48022099201586,0.6712321997841738,Aug,Sep to Oct,Nov,9695.762580100527,blackgram,1315
Meherpur,Kharif 2,Mashkalai,9883.4396167009,39.20539232928779,67.28546749461988,18.426821322274627,7.132926058842184,27.649213727546023,20.31832489528812,35.118762624867294,35.380892672012074,44.5456509593618,25.329235450303173,126.71477792461947,0.5421083717100754,Aug,Sep to Oct,Nov,3763.354125910453,blackgram,1316
Moulvibazar,Kharif 2,Mashkalai,0.0,38.880834225914505,68.40696233637729,20.297403299672563,7.118012464049376,27.580997359599202,19.710095335737606,35.46859883977851,33.81457656389569,45.35257504331815,24.045583100424757,336.8346638491621,0.23021354604928576,Aug,Sep to Oct,Nov,4817.091964897247,blackgram,1317
Munshiganj,Kharif 2,Mashkalai,3510.064283134118,41.40558512087303,68.95029874757398,19.91417063311468,7.106555348277901,27.348821786806663,19.849420932962584,35.10220150358868,35.4033825751635,46.18205125699079,25.334746237542962,165.76865599196057,0.4361733371793715,Aug,Sep to Oct,Nov,13794.735613740786,blackgram,1318
Mymensingh,Kharif 2,Mashkalai,0.0,40.12850538372581,67.72726815382457,18.365592311006093,7.1289994998046,27.47442828043521,20.034921954795838,34.92118410343142,34.467594550885906,45.55984240848276,26.050759500324837,175.71691960376475,0.9665533453800856,Aug,Sep to Oct,Nov,0.0,blackgram,1319
Naogaon,Kharif 2,Mashkalai,6143.498065962492,39.776320346220956,69.23428615601935,20.27808288138493,7.144713352045084,27.249894354992165,21.071618506976193,34.61092540261866,34.24092011451451,46.007419371310085,25.15355939865458,121.67219660041005,0.5254392581395511,Aug,Sep to Oct,Nov,8878.61427771166,blackgram,1320
Narail,Kharif 2,Mashkalai,1203.0525436975431,35.86526359168268,65.66082633159625,19.028276989286766,7.125546318212803,27.47340222643396,20.222037363408905,34.97032543488146,34.464869914450645,43.985759909077316,24.419606677474302,137.87870025645373,0.7561530207894807,Aug,Sep to Oct,Nov,0.0,blackgram,1321
Narayanganj,Kharif 2,Mashkalai,2851.195656943011,41.96878955580198,66.30917884667795,20.36772682892938,7.135536623692044,27.40621966383167,20.030669209431416,34.600087991149046,36.12155782011322,44.51146339187902,24.454976475885243,171.3454713082956,0.2313627482877398,Aug,Sep to Oct,Nov,0.0,blackgram,1322
Narsingdi,Kharif 2,Mashkalai,950.4852843421863,39.52927196264135,69.23146695226059,21.76664644129798,7.149673017062373,27.530533394298423,20.193542357014305,34.90696060150892,35.244803904803824,45.408664609688735,25.4662961041602,162.56666889455457,0.5412024188128843,Aug,Sep to Oct,Nov,1722.2010202672836,blackgram,1323
Natore,Kharif 2,Mashkalai,9911.57836934455,40.2805664724115,67.4865816356358,19.434300225726634,7.149328501267184,27.341248499539248,19.826626320773688,34.98107006399909,34.33153449174934,46.09049429372394,25.460957802087393,127.39047989769419,0.5928159067505131,Aug,Sep to Oct,Nov,5308.717639981258,blackgram,1324
Netrokona,Kharif 2,Mashkalai,2749.924800085898,38.33360226922922,65.55706238080751,18.87777786934793,7.135913857975577,27.452048617889343,20.075437930906382,34.29136432318029,35.56927420861683,45.470267395949996,25.288514789302237,180.88774175773787,1.092245701977963,Aug,Sep to Oct,Nov,6733.547818941866,blackgram,1325
Nilphamari,Kharif 2,Mashkalai,0.0,37.979307204687345,65.46601461462151,20.5949012397867,7.13234596148275,27.501961774843302,20.274431169673917,35.41677498530045,35.609214962684824,44.2580416156094,24.969634638704946,177.87498520139954,0.8003413326309019,Aug,Sep to Oct,Nov,0.0,blackgram,1326
Noakhali,Kharif 2,Mashkalai,805.4846455279923,43.39766457901676,66.24121594514068,21.039549215924378,7.109056325969986,27.51753582689875,19.991664779698215,34.628195265444674,34.720033909417374,44.68574343703086,25.164235790908485,184.75542058384144,0.0,Aug,Sep to Oct,Nov,20168.995592226285,blackgram,1327
Pabna,Kharif 2,Mashkalai,2302.1995025079946,36.025166385115845,67.47322074348013,18.101946937693057,7.121308900322059,27.561335538852745,19.782518049072944,34.944174959473905,35.7042496328891,45.24105087830742,24.94747538474684,119.40376253688825,0.8593472894891669,Aug,Sep to Oct,Nov,0.0,blackgram,1328
Panchagar,Kharif 2,Mashkalai,1436.0718586904752,37.645051831947235,68.17820035082975,18.656377240100028,7.126128058632055,27.46105249058172,19.97761400031951,35.16025699397529,35.73918114794997,44.88095142729069,24.691789976729364,154.9350035190152,0.9915018098992304,Aug,Sep to Oct,Nov,0.0,blackgram,1329
Patuakhali,Kharif 2,Mashkalai,0.0,43.35532097178377,66.97138940060923,20.110264321096423,7.1182453793251295,27.32407894920615,19.908133176433584,35.3928272469869,35.62506954922901,44.422488781279654,25.612952476067196,202.56476836633473,2.329921841781742,Aug,Sep to Oct,Nov,0.0,blackgram,1330
Pirojpur,Kharif 2,Mashkalai,0.0,41.46350298533264,68.05337286982395,19.069880383609927,7.133426452594583,27.51835328936833,19.60987449686097,34.76219529119701,34.50531414787418,44.7901464982986,25.250947432323763,173.97792470887777,2.2251429945699046,Aug,Sep to Oct,Nov,0.0,blackgram,1331
Rajbari,Kharif 2,Mashkalai,2417.742365522477,39.28678300476412,66.8077317725007,18.01036943201785,7.156363798971241,27.460003673266876,19.835699234402462,34.2467413927385,34.13431015937073,44.989562781356874,26.044309993532007,154.42254182563778,0.412837996224197,Aug,Sep to Oct,Nov,0.0,blackgram,1332
Rajshahi,Kharif 2,Mashkalai,8590.842161047156,42.82838964455129,69.32455414039474,19.93667042421559,7.150931655657597,27.729132059225723,19.599616232661926,35.32381535993525,33.75705382174161,44.21560361866792,25.903770651013946,128.1045463777063,0.43171915022501406,Aug,Sep to Oct,Nov,6938.1948049209495,blackgram,1333
Rangamati,Kharif 2,Mashkalai,7377.410256396026,41.02670707033628,71.33669458250819,20.105196042134782,7.133363380200391,27.757329713712384,19.644465787117067,34.62490104155767,34.51870450573824,45.71179849634023,25.22453803816441,204.27550370156436,2.403635750898501,Aug,Sep to Oct,Nov,7455.593899671645,blackgram,1334
Rangpur,Kharif 2,Mashkalai,0.0,40.54414738076148,66.87509065305325,18.80915314444719,7.140749280837191,27.193174300777322,19.672019343260676,35.10790503246717,34.72994385413938,44.682159181265725,25.481783706444784,182.5215521430832,0.08208092359690738,Aug,Sep to Oct,Nov,0.0,blackgram,1335
Satkhira,Kharif 2,Mashkalai,0.0,40.52815651047068,68.19722174223664,19.319046197898313,7.119951719220323,27.63800858240969,20.27408308317072,35.126561428244976,34.78969135178783,44.94752750360648,24.22544133541854,135.40763180595047,0.7766999764864142,Aug,Sep to Oct,Nov,0.0,blackgram,1336
Shariatpur,Kharif 2,Mashkalai,0.0,41.06811010308518,68.07369494884514,18.49710144833919,7.150191454500052,27.682864588351745,20.428081594387848,34.02373921952745,34.96534197637363,45.74834146144055,24.937214373143775,155.41900943252634,0.25585816409237944,Aug,Sep to Oct,Nov,0.0,blackgram,1337
Sherpur,Kharif 2,Mashkalai,0.0,41.15924737919782,67.68015927074686,17.828816680387217,7.108458707155938,27.19904415388173,19.55843213527327,34.51522523409986,36.272404200502216,44.90962616286562,25.27728373939977,183.28191110144058,0.39449908614969076,Aug,Sep to Oct,Nov,1962.5180690709694,blackgram,1338
Sirajganj,Kharif 2,Mashkalai,10188.246194027271,44.967189327273,68.45984332785665,18.599545916667783,7.142588936783481,27.62958216461034,20.454246181251648,34.861664256848194,34.75067381615911,45.70879787644878,23.71924547001128,147.99264022920755,0.3723518514026611,Aug,Sep to Oct,Nov,5704.152575698663,blackgram,1339
Sunamganj,Kharif 2,Mashkalai,0.0,39.58093648936276,68.19553734905114,19.335259801098502,7.136834744805446,27.70035413887968,19.67614454458056,34.22424357121761,34.964188805025415,44.255889411618135,25.347489555948478,329.01360613143,0.0,Aug,Sep to Oct,Nov,0.0,blackgram,1340
Sylhet,Kharif 2,Mashkalai,0.0,39.65042693201282,66.7562325924918,17.33938808241074,7.119575840839825,27.28763927670993,20.21470126402438,34.59831637126414,33.66547791574726,45.31302643886401,24.223790796392926,330.24718044571426,0.0036115031910306516,Aug,Sep to Oct,Nov,0.0,blackgram,1341
Tangail,Kharif 2,Mashkalai,10609.593154199472,37.233470006630164,69.46490572213041,18.693670992492855,7.12712059356421,27.447149101541967,20.0743263241528,35.03688820212001,36.635833226578114,45.60682873059013,24.312514292718625,155.50049268775632,0.1555207571784802,Aug,Sep to Oct,Nov,23237.03310910781,blackgram,1342
Thakurgaon,Kharif 2,Mashkalai,11508.667044333864,39.903083174515416,67.77557627348611,19.353166709171465,7.114357367371824,27.54166500965299,20.182784534603968,34.97343716561055,34.03382737013491,44.400006754680035,24.571538777016343,160.88440494849834,0.5919960946439875,Aug,Sep to Oct,Nov,0.0,blackgram,1343
Bagerhat,Kharif 2,Motor,0.0,25.636797485830286,47.42692831699382,21.769286457796614,6.814945044272356,22.627566277199648,14.664890644447382,30.090857003846832,81.9810093260299,89.87103906791627,74.97531391867116,146.1509078964466,0.38079000844484345,Oct,Nov to March,March to April,0.0,mothbeans,1344
Bandarban,Kharif 2,Motor,150.01545855702432,23.65789319795256,51.71208069973688,19.827233342746958,6.808057558819037,22.278964406592358,14.479012223523128,30.134856351204114,83.01081679404234,89.88600080265341,73.92535550403069,239.35335714414686,0.0,Oct,Nov to March,March to April,6193.786178598801,mothbeans,1345
Barguna,Kharif 2,Motor,4039.52511049889,20.215200243675284,47.83390682048679,18.624689066732266,6.840584888160934,22.75873074194045,14.769192602745079,29.495113965087185,82.68076073997342,90.15156882115531,75.6931983428576,203.29733054225719,1.400017065789195,Oct,Nov to March,March to April,0.0,mothbeans,1346
Barishal,Kharif 2,Motor,10318.392780323835,21.50767857089158,48.396305541861246,19.959858836350048,6.846623075699532,22.04619558526444,15.122709440857486,29.614287940992725,83.70646908687833,90.34328081549471,75.14356734529966,175.98339606046392,0.7614481383221563,Oct,Nov to March,March to April,7557.643256170414,mothbeans,1347
Bhola,Kharif 2,Motor,5393.185258052946,18.519323862056016,48.275837280080765,19.499991024392898,6.800186215001083,22.796017014128335,15.56253982860461,30.228562491756975,83.02865231012878,89.34119936511702,76.55769852168862,186.7099330637806,2.5810416671466117,Oct,Nov to March,March to April,0.0,mothbeans,1348
