District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,Production,Crop_Label_22,Season_enc,District_enc,Crop_enc,Crop_22_enc,Production_log
Jamalpur,Kharif 2,Barbati,253,20.0,66.69,17.52,5.93,25.0,20.0,30,72.5,85,60,181.08838383838383,387,kidneybeans,1,21,4,5,5.961005339623274
Jashore,Kharif 2,Barbati,590,20.84,60.72,21.44,5.81,25.0,20.0,30,72.5,85,60,134.2247474747475,1453,kidneybeans,1,22,4,5,7.282073658093465
Jhallokati,Kharif 2,Barbati,180,20.27,64.27,21.72,6.0,25.0,20.0,30,72.5,85,60,175.42564102564103,186,kidneybeans,1,23,4,5,5.231108616854587
Jhenaidah,Kharif 2,Barbati,313,20.89,71.45,19.69,5.58,25.0,20.0,30,72.5,85,60,134.2247474747475,757,kidneybeans,1,24,4,5,6.630683385642372
Joypurhat,Kharif 2,Barbati,97,21.57,74.09,16.92,5.77,25.0,20.0,30,72.5,85,60,142.85416666666666,147,kidneybeans,1,25,4,5,4.997212273764115
Khagrachari,Kharif 2,Barbati,971,22.72,62.54,19.62,5.76,25.0,20.0,30,72.5,85,60,204.11111111111111,2210,kidneybeans,1,26,4,5,7.701200180857446
Khulna,Kharif 2,Barbati,292,19.21,65.14,19.97,5.57,25.0,20.0,30,72.5,85,60,144.96843434343435,412,kidneybeans,1,27,4,5,6.023447592961033
Kishoreganj,Kharif 2,Barbati,160,23.41,67.43,18.83,5.91,25.0,20.0,30,72.5,85,60,181.08838383838383,265,kidneybeans,1,28,4,5,5.583496308781699
Kurigram,Kharif 2,Barbati,218,18.32,68.68,19.43,6.15,25.0,20.0,30,72.5,85,60,179.6013888888889,318,kidneybeans,1,29,4,5,5.765191102784844
Kushtia,Kharif 2,Barbati,185,20.56,64.26,21.89,5.75,25.0,20.0,30,72.5,85,60,129.44444444444446,702,kidneybeans,1,30,4,5,6.555356891810665
Lakshmipur,Kharif 2,Barbati,161,21.48,69.26,20.85,5.84,25.0,20.0,30,72.5,85,60,185.7563131313132,363,kidneybeans,1,31,4,5,5.8971538676367405
Lalmonirhat,Kharif 2,Barbati,163,21.1,65.62,18.94,5.76,25.0,20.0,30,72.5,85,60,179.6013888888889,194,kidneybeans,1,32,4,5,5.272999558563747
Madaripur,Kharif 2,Barbati,67,19.97,67.48,18.13,5.63,25.0,20.0,30,72.5,85,60,160.41666666666666,198,kidneybeans,1,33,4,5,5.293304824724492
Magura,Kharif 2,Barbati,59,20.49,69.75,19.66,5.44,25.0,20.0,30,72.5,85,60,134.2247474747475,132,kidneybeans,1,34,4,5,4.890349128221754
Manikganj,Kharif 2,Barbati,194,20.14,67.57,19.79,5.63,25.0,20.0,30,72.5,85,60,169.94262295081967,283,kidneybeans,1,35,4,5,5.648974238161206
Meherpur,Kharif 2,Barbati,102,20.02,65.77,20.65,5.51,25.0,20.0,30,72.5,85,60,129.44444444444446,539,kidneybeans,1,36,4,5,6.29156913955832
Moulvibazar,Kharif 2,Barbati,355,21.81,67.1,19.41,6.04,25.0,20.0,30,72.5,85,60,333.72557471264366,884,kidneybeans,1,37,4,5,6.785587645007929
Munshiganj,Kharif 2,Barbati,100,21.19,67.18,20.67,5.73,25.0,20.0,30,72.5,85,60,169.94262295081967,168,kidneybeans,1,38,4,5,5.1298987149230735
Mymensingh,Kharif 2,Barbati,566,19.89,66.04,22.38,5.69,25.0,20.0,30,72.5,85,60,181.08838383838383,1219,kidneybeans,1,39,4,5,7.106606137727303
Naogaon,Kharif 2,Barbati,153,21.87,66.49,21.03,5.9,25.0,20.0,30,72.5,85,60,124.92,180,kidneybeans,1,40,4,5,5.198497031265826
Narail,Kharif 2,Barbati,184,21.13,74.02,19.99,5.56,25.0,20.0,30,72.5,85,60,134.2247474747475,438,kidneybeans,1,41,4,5,6.0844994130751715
Narayanganj,Kharif 2,Barbati,154,21.76,69.81,19.83,5.62,25.0,20.0,30,72.5,85,60,169.94262295081967,166,kidneybeans,1,42,4,5,5.117993812416755
Narsingdi,Kharif 2,Barbati,289,21.53,66.34,19.62,5.76,25.0,20.0,30,72.5,85,60,169.94262295081967,459,kidneybeans,1,43,4,5,6.131226489483141
Natore,Kharif 2,Barbati,402,19.72,70.36,21.47,5.93,25.0,20.0,30,72.5,85,60,124.92,442,kidneybeans,1,44,4,5,6.093569770045136
Netrokona,Kharif 2,Barbati,125,20.05,66.19,19.3,5.84,25.0,20.0,30,72.5,85,60,181.08838383838383,192,kidneybeans,1,45,4,5,5.262690188904886
Nilphamari,Kharif 2,Barbati,156,21.68,72.29,20.1,5.79,25.0,20.0,30,72.5,85,60,179.6013888888889,331,kidneybeans,1,46,4,5,5.805134968916488
Noakhali,Kharif 2,Barbati,284,21.51,69.04,20.11,5.76,25.0,20.0,30,72.5,85,60,185.7563131313132,684,kidneybeans,1,47,4,5,6.529418838262226
Pabna,Kharif 2,Barbati,224,20.72,67.11,19.45,5.82,25.0,20.0,30,72.5,85,60,124.92,270,kidneybeans,1,48,4,5,5.602118820879701
Panchagar,Kharif 2,Barbati,373,20.9,69.35,18.4,5.78,25.0,20.0,30,72.5,85,60,154.21843434343435,1202,kidneybeans,1,49,4,5,7.0925737159746784
Patuakhali,Kharif 2,Barbati,85,22.34,61.17,20.44,5.57,25.0,20.0,30,72.5,85,60,207.8076923076923,97,kidneybeans,1,50,4,5,4.584967478670572
Pirojpur,Kharif 2,Barbati,143,20.01,62.97,19.98,5.76,25.0,20.0,30,72.5,85,60,175.42564102564103,162,kidneybeans,1,51,4,5,5.093750200806762
Rajbari,Kharif 2,Barbati,277,21.43,62.7,20.65,5.56,25.0,20.0,30,72.5,85,60,155.864898989899,669,kidneybeans,1,52,4,5,6.507277712385012
Rajshahi,Kharif 2,Barbati,245,20.5,68.12,19.41,5.76,25.0,20.0,30,72.5,85,60,124.92,804,kidneybeans,1,53,4,5,6.690842277418564
Rangamati,Kharif 2,Barbati,663,20.48,74.56,21.52,5.67,25.0,20.0,30,72.5,85,60,204.11111111111111,926,kidneybeans,1,54,4,5,6.831953565565855
Rangpur,Kharif 2,Barbati,350,22.12,76.58,19.0,6.19,25.0,20.0,30,72.5,85,60,179.6013888888889,499,kidneybeans,1,55,4,5,6.214608098422191
Satkhira,Kharif 2,Barbati,307,21.78,70.13,22.11,5.74,25.0,20.0,30,72.5,85,60,140.35353535353536,501,kidneybeans,1,56,4,5,6.218600119691729
Shariatpur,Kharif 2,Barbati,89,21.76,69.57,17.95,5.51,25.0,20.0,30,72.5,85,60,155.864898989899,154,kidneybeans,1,57,4,5,5.043425116919247
Sherpur,Kharif 2,Barbati,140,22.38,60.24,20.57,5.73,25.0,20.0,30,72.5,85,60,181.08838383838383,212,kidneybeans,1,58,4,5,5.3612921657094255
Sirajganj,Kharif 2,Barbati,125,20.78,65.34,20.62,5.84,25.0,20.0,30,72.5,85,60,142.85416666666666,190,kidneybeans,1,59,4,5,5.25227342804663
Sunamganj,Kharif 2,Barbati,82,21.6,64.35,19.09,6.04,25.0,20.0,30,72.5,85,60,333.72557471264366,175,kidneybeans,1,60,4,5,5.170483995038151
Sylhet,Kharif 2,Barbati,409,20.36,65.02,20.56,5.65,25.0,20.0,30,72.5,85,60,333.72557471264366,761,kidneybeans,1,61,4,5,6.635946555686647
Tangail,Kharif 2,Barbati,213,21.15,66.86,21.59,5.48,25.0,20.0,30,72.5,85,60,153.4104938271605,313,kidneybeans,1,62,4,5,5.749392985908253
Thakurgaon,Kharif 2,Barbati,166,20.59,65.63,17.38,5.89,25.0,20.0,30,72.5,85,60,154.21843434343435,235,kidneybeans,1,63,4,5,5.4638318050256105
Bagerhat,Kharif 1,Beans,527,20.87,59.52,20.65,5.51,16.0,10.0,22,67.5,75,60,144.96843434343435,1083,kidneybeans,0,0,5,5,6.988413181999592
Bandarban,Kharif 1,Beans,566,21.49,70.57,17.05,5.67,16.0,10.0,22,67.5,75,60,243.94444444444449,1001,kidneybeans,0,1,5,5,6.90975328164481
Barguna,Kharif 1,Beans,231,19.73,63.19,18.89,5.71,16.0,10.0,22,67.5,75,60,207.8076923076923,335,kidneybeans,0,2,5,5,5.817111159963204
Barishal,Kharif 1,Beans,576,23.36,68.51,22.01,5.74,16.0,10.0,22,67.5,75,60,175.42564102564103,1185,kidneybeans,0,3,5,5,7.078341579557671
Bhola,Kharif 1,Beans,660,19.5,75.95,19.35,5.87,16.0,10.0,22,67.5,75,60,185.23090277777777,2330,kidneybeans,0,4,5,5,7.754052639035757
Bogura,Kharif 1,Beans,1276,19.24,63.81,18.64,5.63,16.0,10.0,22,67.5,75,60,142.85416666666666,4263,kidneybeans,0,5,5,5,8.357962965845681
Brahmanbaria,Kharif 1,Beans,932,22.19,57.29,19.81,5.7,16.0,10.0,22,67.5,75,60,185.7563131313132,2404,kidneybeans,0,6,5,5,7.785305182539862
Chandpur,Kharif 1,Beans,724,21.74,66.38,22.54,5.75,16.0,10.0,22,67.5,75,60,168.796875,2265,kidneybeans,0,7,5,5,7.725771441587952
Chapai Nawabganj,Kharif 1,Beans,231,21.53,72.0,17.85,5.78,16.0,10.0,22,67.5,75,60,124.92,505,kidneybeans,0,8,5,5,6.226536669287466
Chattogram,Kharif 1,Beans,3745,21.53,75.48,18.79,5.77,16.0,10.0,22,67.5,75,60,243.94444444444449,13539,kidneybeans,0,9,5,5,9.513403546466266
Chuadanga,Kharif 1,Beans,776,20.73,62.56,21.85,5.83,16.0,10.0,22,67.5,75,60,129.44444444444446,1538,kidneybeans,0,10,5,5,7.338888133838879
CoxsBazar,Kharif 1,Beans,605,19.63,69.55,22.28,5.9,16.0,10.0,22,67.5,75,60,303.40277777777777,1592,kidneybeans,0,11,5,5,7.373374309910049
Cumilla,Kharif 1,Beans,1823,20.84,65.65,19.93,5.82,16.0,10.0,22,67.5,75,60,185.7563131313132,5504,kidneybeans,0,12,5,5,8.61341204915678
Dhaka,Kharif 1,Beans,1416,19.91,67.11,18.56,5.83,16.0,10.0,22,67.5,75,60,169.94262295081967,4301,kidneybeans,0,13,5,5,8.366835309827675
Dinajpur,Kharif 1,Beans,635,21.96,78.26,22.57,5.48,16.0,10.0,22,67.5,75,60,154.21843434343435,1197,kidneybeans,0,14,5,5,7.088408778675395
Faridpur,Kharif 1,Beans,496,20.57,61.45,21.97,5.76,16.0,10.0,22,67.5,75,60,155.864898989899,901,kidneybeans,0,15,5,5,6.804614520062624
Feni,Kharif 1,Beans,319,19.72,68.57,20.87,5.83,16.0,10.0,22,67.5,75,60,248.1727642276423,523,kidneybeans,0,16,5,5,6.261491684321042
Gaibandha,Kharif 1,Beans,373,20.35,69.44,19.07,5.88,16.0,10.0,22,67.5,75,60,179.6013888888889,795,kidneybeans,0,17,5,5,6.679599185844383
Gazipur,Kharif 1,Beans,1129,21.26,71.94,19.99,5.63,16.0,10.0,22,67.5,75,60,169.94262295081967,1771,kidneybeans,0,18,5,5,7.4798641311650265
Gopalganj,Kharif 1,Beans,331,20.05,67.94,19.86,5.64,16.0,10.0,22,67.5,75,60,155.864898989899,863,kidneybeans,0,19,5,5,6.761572768804055
Habiganj,Kharif 1,Beans,1426,19.73,68.79,20.45,5.65,16.0,10.0,22,67.5,75,60,333.72557471264366,5009,kidneybeans,0,20,5,5,8.51919119407891
Jamalpur,Kharif 1,Beans,1239,21.05,65.95,21.8,5.84,16.0,10.0,22,67.5,75,60,181.08838383838383,2497,kidneybeans,0,21,5,5,7.823245690685523
Jashore,Kharif 1,Beans,2779,21.05,68.63,21.11,5.93,16.0,10.0,22,67.5,75,60,134.2247474747475,9278,kidneybeans,0,22,5,5,9.13550906135318
Jhallokati,Kharif 1,Beans,709,20.12,66.15,18.75,5.68,16.0,10.0,22,67.5,75,60,175.42564102564103,1203,kidneybeans,0,23,5,5,7.093404625868766
Jhenaidah,Kharif 1,Beans,1576,20.16,70.06,21.71,5.91,16.0,10.0,22,67.5,75,60,134.2247474747475,6906,kidneybeans,0,24,5,5,8.840290669088972
Joypurhat,Kharif 1,Beans,219,21.04,66.04,20.43,5.77,16.0,10.0,22,67.5,75,60,142.85416666666666,664,kidneybeans,0,25,5,5,6.499787040655854
Khagrachari,Kharif 1,Beans,728,18.95,69.07,20.88,5.73,16.0,10.0,22,67.5,75,60,204.11111111111111,1550,kidneybeans,0,26,5,5,7.346655163176539
Khulna,Kharif 1,Beans,586,19.0,67.42,21.81,5.71,16.0,10.0,22,67.5,75,60,144.96843434343435,2190,kidneybeans,0,27,5,5,7.692113339595466
Kishoreganj,Kharif 1,Beans,1192,19.86,72.1,18.71,5.88,16.0,10.0,22,67.5,75,60,181.08838383838383,3981,kidneybeans,0,28,5,5,8.289539484624141
Kurigram,Kharif 1,Beans,370,20.48,67.33,20.01,5.81,16.0,10.0,22,67.5,75,60,179.6013888888889,595,kidneybeans,0,29,5,5,6.39024066706535
Kushtia,Kharif 1,Beans,669,21.14,60.35,19.41,6.14,16.0,10.0,22,67.5,75,60,129.44444444444446,1954,kidneybeans,0,30,5,5,7.578145472419466
Lakshmipur,Kharif 1,Beans,769,22.59,72.65,18.16,5.6,16.0,10.0,22,67.5,75,60,185.7563131313132,1044,kidneybeans,0,31,5,5,6.951772164398911
Lalmonirhat,Kharif 1,Beans,251,21.82,63.87,20.47,5.84,16.0,10.0,22,67.5,75,60,179.6013888888889,673,kidneybeans,0,32,5,5,6.513230110912307
Madaripur,Kharif 1,Beans,325,20.55,64.89,23.07,5.66,16.0,10.0,22,67.5,75,60,160.41666666666666,1019,kidneybeans,0,33,5,5,6.927557906278317
Magura,Kharif 1,Beans,186,20.73,65.13,17.84,5.6,16.0,10.0,22,67.5,75,60,134.2247474747475,635,kidneybeans,0,34,5,5,6.455198563340122
Manikganj,Kharif 1,Beans,819,19.5,73.11,20.01,5.75,16.0,10.0,22,67.5,75,60,169.94262295081967,4159,kidneybeans,0,35,5,5,8.333270353255308
Meherpur,Kharif 1,Beans,669,20.73,58.89,20.82,5.77,16.0,10.0,22,67.5,75,60,129.44444444444446,5671,kidneybeans,0,36,5,5,8.643297068211963
Moulvibazar,Kharif 1,Beans,449,20.39,80.26,20.2,6.25,16.0,10.0,22,67.5,75,60,333.72557471264366,1303,kidneybeans,0,37,5,5,7.1731917424865985
Munshiganj,Kharif 1,Beans,551,21.15,71.82,19.91,5.72,16.0,10.0,22,67.5,75,60,169.94262295081967,1016,kidneybeans,0,38,5,5,6.92461239604856
Mymensingh,Kharif 1,Beans,2127,19.72,68.44,18.49,5.56,16.0,10.0,22,67.5,75,60,181.08838383838383,6314,kidneybeans,0,39,5,5,8.750683034784592
Naogaon,Kharif 1,Beans,817,21.4,67.32,20.33,5.8,16.0,10.0,22,67.5,75,60,124.92,2725,kidneybeans,0,40,5,5,7.9105906122564775
Narail,Kharif 1,Beans,360,22.66,68.7,19.14,5.39,16.0,10.0,22,67.5,75,60,134.2247474747475,1207,kidneybeans,0,41,5,5,7.0967213784947605
Narayanganj,Kharif 1,Beans,785,20.61,69.65,17.42,5.73,16.0,10.0,22,67.5,75,60,169.94262295081967,2039,kidneybeans,0,42,5,5,7.620705086838262
Narsingdi,Kharif 1,Beans,2661,21.25,70.15,21.49,5.75,16.0,10.0,22,67.5,75,60,169.94262295081967,11665,kidneybeans,0,43,5,5,9.364433907313582
Natore,Kharif 1,Beans,560,21.61,69.79,21.2,5.89,16.0,10.0,22,67.5,75,60,124.92,1328,kidneybeans,0,44,5,5,7.192182058713246
Netrokona,Kharif 1,Beans,595,20.25,67.9,20.11,5.92,16.0,10.0,22,67.5,75,60,181.08838383838383,1574,kidneybeans,0,45,5,5,7.362010551259734
Nilphamari,Kharif 1,Beans,400,21.03,66.74,20.33,5.66,16.0,10.0,22,67.5,75,60,179.6013888888889,1187,kidneybeans,0,46,5,5,7.080026499922591
Noakhali,Kharif 1,Beans,1139,20.77,66.93,21.34,5.72,16.0,10.0,22,67.5,75,60,185.7563131313132,2008,kidneybeans,0,47,5,5,7.605392364814935
Pabna,Kharif 1,Beans,718,20.87,66.75,20.32,5.62,16.0,10.0,22,67.5,75,60,124.92,1994,kidneybeans,0,48,5,5,7.598399329323964
Panchagar,Kharif 1,Beans,463,19.79,72.13,21.14,5.56,16.0,10.0,22,67.5,75,60,154.21843434343435,1382,kidneybeans,0,49,5,5,7.232010331664759
Patuakhali,Kharif 1,Beans,187,20.78,69.95,19.69,5.8,16.0,10.0,22,67.5,75,60,207.8076923076923,170,kidneybeans,0,50,5,5,5.14166355650266
Pirojpur,Kharif 1,Beans,326,21.37,55.62,21.63,5.53,16.0,10.0,22,67.5,75,60,175.42564102564103,579,kidneybeans,0,51,5,5,6.363028103540465
Rajbari,Kharif 1,Beans,468,22.56,70.2,20.44,5.68,16.0,10.0,22,67.5,75,60,155.864898989899,1145,kidneybeans,0,52,5,5,7.044032897274685
Rajshahi,Kharif 1,Beans,1097,21.94,68.33,20.28,5.58,16.0,10.0,22,67.5,75,60,124.92,4207,kidneybeans,0,53,5,5,8.344742754417545
Rangamati,Kharif 1,Beans,634,23.43,67.46,18.52,5.84,16.0,10.0,22,67.5,75,60,204.11111111111111,907,kidneybeans,0,54,5,5,6.811244378601294
Rangpur,Kharif 1,Beans,544,19.79,65.97,20.4,6.06,16.0,10.0,22,67.5,75,60,179.6013888888889,930,kidneybeans,0,55,5,5,6.836259277277067
Satkhira,Kharif 1,Beans,689,21.84,72.1,19.05,5.53,16.0,10.0,22,67.5,75,60,140.35353535353536,1746,kidneybeans,0,56,5,5,7.465655310134056
Shariatpur,Kharif 1,Beans,398,20.98,71.38,19.28,5.43,16.0,10.0,22,67.5,75,60,155.864898989899,868,kidneybeans,0,57,5,5,6.767343125265392
Sherpur,Kharif 1,Beans,533,23.48,64.41,19.07,5.73,16.0,10.0,22,67.5,75,60,181.08838383838383,1679,kidneybeans,0,58,5,5,7.426549072397305
Sirajganj,Kharif 1,Beans,490,19.74,69.19,18.77,5.75,16.0,10.0,22,67.5,75,60,142.85416666666666,1107,kidneybeans,0,59,5,5,7.010311867307229
Sunamganj,Kharif 1,Beans,1620,19.7,63.6,22.61,5.79,16.0,10.0,22,67.5,75,60,333.72557471264366,13988,kidneybeans,0,60,5,5,9.546026585476431
Sylhet,Kharif 1,Beans,2305,20.0,61.95,21.65,5.67,16.0,10.0,22,67.5,75,60,333.72557471264366,5351,kidneybeans,0,61,5,5,8.585225601808064
Tangail,Kharif 1,Beans,1887,18.11,65.0,22.36,5.72,16.0,10.0,22,67.5,75,60,153.4104938271605,3425,kidneybeans,0,62,5,5,8.139148678884066
Thakurgaon,Kharif 1,Beans,376,20.1,71.03,18.58,5.81,16.0,10.0,22,67.5,75,60,154.21843434343435,873,kidneybeans,0,63,5,5,6.773080375655535
Bandarban,Rabi,Boro,15427,80.61,49.04,36.78,6.05,26.0,12.0,40,72.5,85,60,243.94444444444449,24116,rice,2,1,6,15,10.090672264996071
Barguna,Rabi,Boro,17220,81.53,49.65,38.21,6.36,26.0,12.0,40,72.5,85,60,207.8076923076923,22680,rice,2,2,6,15,10.029282848580436
Jhallokati,Rabi,Boro,26405,79.21,45.25,42.46,6.33,26.0,12.0,40,72.5,85,60,175.42564102564103,40037,rice,2,23,6,15,10.597584282131661
Khagrachari,Rabi,Boro,26856,83.3,42.99,39.95,6.45,26.0,12.0,40,72.5,85,60,204.11111111111111,41588,rice,2,26,6,15,10.635590988206486
Patuakhali,Rabi,Boro,2655,87.09,50.61,40.88,6.49,26.0,12.0,40,72.5,85,60,207.8076923076923,3517,rice,2,50,6,15,8.165647925297504
Rangamati,Rabi,Boro,17437,71.73,47.51,39.57,6.46,26.0,12.0,40,72.5,85,60,204.11111111111111,28175,rice,2,54,6,15,10.246225830735987
Bandarban,Rabi,Cheena,118,74.81,48.02,38.84,6.51,21.0,17.0,25,62.5,85,40,243.94444444444449,25,rice,2,1,7,15,3.258096538021482
Bhola,Rabi,Cheena,58,75.17,45.7,40.93,6.34,21.0,17.0,25,62.5,85,40,185.23090277777777,49,rice,2,4,7,15,3.912023005428146
Bogura,Rabi,Cheena,107,82.31,46.71,37.89,6.14,21.0,17.0,25,62.5,85,40,142.85416666666666,33,rice,2,5,7,15,3.5263605246161616
Chandpur,Rabi,Cheena,49,76.09,45.24,40.74,6.21,21.0,17.0,25,62.5,85,40,168.796875,16,rice,2,7,7,15,2.833213344056216
Chapai Nawabganj,Rabi,Cheena,57,79.38,46.22,39.89,6.35,21.0,17.0,25,62.5,85,40,124.92,18,rice,2,8,7,15,2.9444389791664403
Dinajpur,Rabi,Cheena,4,76.54,48.69,40.76,6.48,21.0,17.0,25,62.5,85,40,154.21843434343435,1,rice,2,14,7,15,0.6931471805599453
Gaibandha,Rabi,Cheena,200,78.83,45.92,36.86,6.27,21.0,17.0,25,62.5,85,40,179.6013888888889,167,rice,2,17,7,15,5.123963979403259
Jamalpur,Rabi,Cheena,20,77.13,50.22,40.68,6.57,21.0,17.0,25,62.5,85,40,181.08838383838383,10,rice,2,21,7,15,2.3978952727983707
Khagrachari,Rabi,Cheena,19,87.77,45.82,39.72,6.35,21.0,17.0,25,62.5,85,40,204.11111111111111,7,rice,2,26,7,15,2.0794415416798357
Kurigram,Rabi,Cheena,812,81.38,51.02,39.51,6.19,21.0,17.0,25,62.5,85,40,179.6013888888889,371,rice,2,29,7,15,5.918893854273146
Lalmonirhat,Rabi,Cheena,10,79.28,47.58,37.19,6.31,21.0,17.0,25,62.5,85,40,179.6013888888889,5,rice,2,32,7,15,1.791759469228055
Munshiganj,Rabi,Cheena,51,76.79,46.13,45.82,6.2,21.0,17.0,25,62.5,85,40,169.94262295081967,21,rice,2,38,7,15,3.091042453358316
Nilphamari,Rabi,Cheena,9,87.19,50.55,41.96,6.69,21.0,17.0,25,62.5,85,40,179.6013888888889,4,rice,2,46,7,15,1.6094379124341003
Panchagar,Rabi,Cheena,30,78.98,44.52,40.67,6.58,21.0,17.0,25,62.5,85,40,154.21843434343435,13,rice,2,49,7,15,2.6390573296152584
Rangamati,Rabi,Cheena,82,73.19,45.1,37.68,6.6,21.0,17.0,25,62.5,85,40,204.11111111111111,36,rice,2,54,7,15,3.6109179126442243
Rangpur,Rabi,Cheena,15,82.59,50.79,37.87,6.54,21.0,17.0,25,62.5,85,40,179.6013888888889,9,rice,2,55,7,15,2.302585092994046
Sirajganj,Rabi,Cheena,229,75.75,49.4,43.1,6.27,21.0,17.0,25,62.5,85,40,142.85416666666666,124,rice,2,59,7,15,4.8283137373023015
Thakurgaon,Rabi,Cheena,111,79.65,47.12,36.72,6.67,21.0,17.0,25,62.5,85,40,154.21843434343435,28,rice,2,63,7,15,3.367295829986474
Bandarban,Kharif 1,Dalim,21,17.84,17.62,35.06,6.47,21.5,5.0,38,82.5,95,70,243.94444444444449,1,pomegranate,0,1,8,14,0.6931471805599453
Barishal,Kharif 1,Dalim,24,19.73,18.17,39.83,6.38,21.5,5.0,38,82.5,95,70,175.42564102564103,62,pomegranate,0,3,8,14,4.143134726391533
Bhola,Kharif 1,Dalim,3,19.44,18.49,48.03,6.14,21.5,5.0,38,82.5,95,70,185.23090277777777,1,pomegranate,0,4,8,14,0.6931471805599453
Bogura,Kharif 1,Dalim,2,17.76,17.63,45.78,6.39,21.5,5.0,38,82.5,95,70,142.85416666666666,8,pomegranate,0,5,8,14,2.1972245773362196
Brahmanbaria,Kharif 1,Dalim,33,18.98,15.87,39.77,6.39,21.5,5.0,38,82.5,95,70,185.7563131313132,29,pomegranate,0,6,8,14,3.4011973816621555
Chandpur,Kharif 1,Dalim,6,19.72,18.54,39.95,6.53,21.5,5.0,38,82.5,95,70,168.796875,10,pomegranate,0,7,8,14,2.3978952727983707
Chapai Nawabganj,Kharif 1,Dalim,23,16.98,21.46,42.61,6.47,21.5,5.0,38,82.5,95,70,124.92,49,pomegranate,0,8,8,14,3.912023005428146
Chattogram,Kharif 1,Dalim,3,19.49,19.63,44.32,6.2,21.5,5.0,38,82.5,95,70,243.94444444444449,6,pomegranate,0,9,8,14,1.9459101490553132
Chuadanga,Kharif 1,Dalim,5,18.12,18.73,36.26,6.64,21.5,5.0,38,82.5,95,70,129.44444444444446,5,pomegranate,0,10,8,14,1.791759469228055
CoxsBazar,Kharif 1,Dalim,6,19.52,18.45,35.9,6.47,21.5,5.0,38,82.5,95,70,303.40277777777777,8,pomegranate,0,11,8,14,2.1972245773362196
Cumilla,Kharif 1,Dalim,44,18.01,18.78,38.71,6.47,21.5,5.0,38,82.5,95,70,185.7563131313132,33,pomegranate,0,12,8,14,3.5263605246161616
Dhaka,Kharif 1,Dalim,5,16.83,19.37,41.62,6.43,21.5,5.0,38,82.5,95,70,169.94262295081967,19,pomegranate,0,13,8,14,2.995732273553991
Dinajpur,Kharif 1,Dalim,26,17.03,17.42,41.41,6.33,21.5,5.0,38,82.5,95,70,154.21843434343435,65,pomegranate,0,14,8,14,4.189654742026425
Faridpur,Kharif 1,Dalim,18,18.92,20.0,42.79,6.47,21.5,5.0,38,82.5,95,70,155.864898989899,54,pomegranate,0,15,8,14,4.007333185232471
Feni,Kharif 1,Dalim,1,19.16,19.55,37.32,6.52,21.5,5.0,38,82.5,95,70,248.1727642276423,1,pomegranate,0,16,8,14,0.6931471805599453
Gaibandha,Kharif 1,Dalim,12,17.85,19.56,34.62,6.09,21.5,5.0,38,82.5,95,70,179.6013888888889,19,pomegranate,0,17,8,14,2.995732273553991
Gazipur,Kharif 1,Dalim,24,19.59,19.24,42.28,6.33,21.5,5.0,38,82.5,95,70,169.94262295081967,17,pomegranate,0,18,8,14,2.8903717578961645
Gopalganj,Kharif 1,Dalim,4,16.99,18.77,38.21,6.38,21.5,5.0,38,82.5,95,70,155.864898989899,29,pomegranate,0,19,8,14,3.4011973816621555
Jamalpur,Kharif 1,Dalim,6,17.5,19.42,40.56,6.66,21.5,5.0,38,82.5,95,70,181.08838383838383,9,pomegranate,0,21,8,14,2.302585092994046
Jashore,Kharif 1,Dalim,13,18.13,18.35,42.12,6.28,21.5,5.0,38,82.5,95,70,134.2247474747475,110,pomegranate,0,22,8,14,4.709530201312334
Jhallokati,Kharif 1,Dalim,13,18.92,18.1,39.92,6.33,21.5,5.0,38,82.5,95,70,175.42564102564103,10,pomegranate,0,23,8,14,2.3978952727983707
Jhenaidah,Kharif 1,Dalim,12,17.9,18.86,39.11,6.33,21.5,5.0,38,82.5,95,70,134.2247474747475,46,pomegranate,0,24,8,14,3.8501476017100584
Joypurhat,Kharif 1,Dalim,5,18.43,20.49,39.83,6.28,21.5,5.0,38,82.5,95,70,142.85416666666666,14,pomegranate,0,25,8,14,2.70805020110221
Khagrachari,Kharif 1,Dalim,4,20.01,17.36,39.32,6.36,21.5,5.0,38,82.5,95,70,204.11111111111111,2,pomegranate,0,26,8,14,1.0986122886681098
Khulna,Kharif 1,Dalim,7,18.22,17.1,36.96,6.58,21.5,5.0,38,82.5,95,70,144.96843434343435,33,pomegranate,0,27,8,14,3.5263605246161616
Kishoreganj,Kharif 1,Dalim,11,19.82,18.94,38.49,6.23,21.5,5.0,38,82.5,95,70,181.08838383838383,15,pomegranate,0,28,8,14,2.772588722239781
Kurigram,Kharif 1,Dalim,6,17.59,18.81,41.47,6.51,21.5,5.0,38,82.5,95,70,179.6013888888889,31,pomegranate,0,29,8,14,3.4657359027997265
Kushtia,Kharif 1,Dalim,12,19.47,18.95,40.99,6.1,21.5,5.0,38,82.5,95,70,129.44444444444446,31,pomegranate,0,30,8,14,3.4657359027997265
Lakshmipur,Kharif 1,Dalim,8,20.5,19.02,40.62,6.32,21.5,5.0,38,82.5,95,70,185.7563131313132,9,pomegranate,0,31,8,14,2.302585092994046
